site_id,year,year_id,winter_GDD,scaled_winter_GDD
14,2000,17,1231.507264,0.654565456
14,2001,18,1085.086237,-0.476147541
14,2002,19,1305.128455,1.223093349
14,2003,20,1205.470383,0.453499804
14,2004,21,1185.556831,0.299720574
14,2005,22,1222.353819,0.58387944
14,2006,23,1096.96978,-0.384378775
14,2007,24,1205.635356,0.454773779
14,2008,25,1168.864268,0.170814924
14,2009,26,1110.491364,-0.279960507
14,2010,27,878.959838,-2.067925738
14,2011,28,1086.663601,-0.463966598
14,2012,29,1241.326048,0.730389452
14,2013,30,951.7654302,-1.50569618
14,2014,31,1073.999174,-0.561765616
14,2015,32,997.9266267,-1.149223712
14,2016,33,1031.903748,-0.886840818
14,2017,34,1124.894586,-0.168733921
14,2018,35,909.0101994,-1.835866622
15,1984,1,1193.711178,0.362691219
15,1985,2,1138.555533,-0.063239443
15,1986,3,1037.966373,-0.840023169
15,1987,4,1176.640917,0.230868853
15,1988,5,1283.413113,1.055400086
15,1989,6,1322.924478,1.360520293
15,1990,7,1357.259004,1.625663187
15,1991,8,1185.59431,0.30001
15,1992,9,1296.538381,1.156757871
15,1993,10,1306.264301,1.231864735
15,1994,11,1202.354946,0.429441338
15,1995,12,1250.782864,0.803418198
15,1996,13,1146.462913,-0.00217596
15,1997,14,1284.304829,1.06228622
15,1998,15,1281.514188,1.040735937
15,1999,16,1247.190974,0.775680406
15,2000,17,1213.346332,0.514320559
15,2001,18,1070.71035,-0.587163031
15,2002,19,1288.169162,1.092127913
15,2003,20,1191.057695,0.342200117
15,2004,21,1163.704386,0.130968563
15,2005,22,1207.305649,0.467672346
15,2006,23,1078.206165,-0.529277797
15,2007,24,1187.509135,0.314796928
15,2008,25,1152.976201,0.048121867
15,2009,26,1087.533083,-0.457252162
15,2010,27,863.6865647,-2.185871152
15,2011,28,1073.765577,-0.563569533
15,2012,29,1229.805473,0.641423647
15,2013,30,935.6540242,-1.63011394
15,2014,31,1059.114379,-0.676711065
15,2015,32,979.9097569,-1.288356112
15,2016,33,1016.217929,-1.007972048
15,2017,34,1113.66617,-0.255443576
15,2018,35,892.5455656,-1.963012127
16,1984,1,1296.156791,1.153811104
16,1985,2,1261.163903,0.883584117
16,1986,3,1139.652578,-0.054767689
16,1987,4,1278.806313,1.019824806
16,1988,5,1368.165216,1.70988467
16,1989,6,1407.587654,2.014318145
16,1990,7,1428.860233,2.178592242
16,1991,8,1271.751653,0.965346325
16,1992,9,1383.599816,1.829075897
16,1993,10,1381.744202,1.814746216
16,1994,11,1306.935701,1.237049516
16,1995,12,1342.551895,1.512089887
16,1996,13,1234.134583,0.674854506
16,1997,14,1353.932882,1.59997774
16,1998,15,1363.31254,1.672410649
16,1999,16,1340.532144,1.49649268
16,2000,17,1299.912146,1.182811236
16,2001,18,1178.82048,0.24770018
16,2002,19,1366.980006,1.700732071
16,2003,20,1288.273424,1.092933062
16,2004,21,1267.983877,0.936250273
16,2005,22,1289.019529,1.098694742
16,2006,23,1181.338482,0.267145051
16,2007,24,1275.372006,0.99330392
16,2008,25,1246.129562,0.767483817
