"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","f"
"alpha[29]",-0.748827352226254,0.56241716285147,-1.87011437404665,-0.742143843584617,0.329806246066921,1.01,960,0.910916666666667
"alpha[30]",2.89239584765778,0.0979800888556678,2.6974124095489,2.89223766338989,3.08406048791349,1,7126,1
"alpha[31]",-0.2973876182543,0.602992018281513,-1.48940742964911,-0.293470942965725,0.904384211316182,1,932,0.689916666666667
"alpha[32]",3.4975859035203,0.0876246839296942,3.323752732836,3.49775823076581,3.66837309405368,1,9337,1
"alpha[33]",9.03642976719819,0.0672631870063059,8.9041527157638,9.03632732879957,9.16823880039969,1,12000,1
"alpha[34]",4.43479336170636,0.0692737026779086,4.29820083719787,4.43436141024934,4.56965611125136,1,11742,1
"alpha[35]",5.16279525805936,0.0667448710294195,5.03226618824772,5.16305178123351,5.29503525737971,1,11696,1
"alpha[36]",5.13636566925377,0.067136578855145,5.00345589704853,5.13618300747626,5.26681249745541,1,11632,1
"alpha[37]",3.32758385023536,0.0733479063345688,3.18504304114038,3.32790470370229,3.47260233513107,1,9786,1
"alpha[38]",3.44085458359607,0.0729775219310851,3.29804633556778,3.44078501863633,3.58146666545569,1,10562,1
"alpha[39]",4.53910441972305,0.0675732022870754,4.40633666989723,4.5392836961209,4.67170590215187,1,11243,1
"alpha[40]",3.02158265511567,0.0754298472566611,2.87306815018584,3.02165378588009,3.16852785968486,1,9976,1
"alpha[41]",3.45486328453772,0.0725497944479659,3.31031864341825,3.45621657796967,3.59524388189311,1,9716,1
"alpha[42]",3.73390993022223,0.0718860063819998,3.59580838328428,3.73316001056195,3.87506064725309,1,11727,1
"alpha[43]",6.81808424655554,0.0657506825140997,6.68866930054753,6.81813732309331,6.94697324820217,1,12000,1
"alpha[44]",6.15682734083696,0.0667174575329408,6.02543333675465,6.1570873377265,6.29186982623773,1,12000,1
"alpha[45]",3.6053542959724,0.0734812314334244,3.45981890252738,3.60520805467371,3.74908770559244,1,10192,1
"alpha[46]",2.75169567201421,0.140884089631837,2.47102205373613,2.75310438577648,3.02439167147244,1,5229,1
"alpha[47]",4.7465140521742,0.0681245187816872,4.61404026200424,4.74657462259727,4.88025383594968,1,11904,1
"alpha[48]",9.00206417952793,0.065791212246897,8.87377520523112,9.00222641477304,9.13050203805585,1,12144,1
"alpha[49]",2.79912480844461,0.102713564351116,2.59828819986176,2.79877590139294,2.99924042926862,1,6638,1
"alpha[50]",5.51233309247396,0.065836569792182,5.38386855565981,5.51283602536368,5.64124249788405,1,11560,1
"alpha[51]",3.15193938618168,0.0761147388021136,3.00394483814341,3.1517621168592,3.30187320057976,1,9710,1
"alpha[52]",4.87615761993123,0.115628308078158,4.64771999319608,4.87578324410115,5.1032688124172,1,5833,1
"alpha[53]",6.85766256822256,0.0659459928691668,6.72932618581167,6.85704367579145,6.98921374282654,1,11878,1
"alpha[54]",7.09311117506929,0.0650463208685847,6.96447562461754,7.09313518147816,7.21912102934798,1,12261,1
"alpha[55]",5.39455061023512,0.0669609033772047,5.26419703806376,5.39414856875004,5.52560720656602,1,11276,1
"alpha[56]",5.15131660107835,0.0670668408153133,5.02056206649239,5.15178131204926,5.28320127023,1,12000,1
"alpha[57]",5.8705863172081,0.0662089022190379,5.73999024636965,5.87079359784684,5.99907005706778,1,11745,1
"alpha[58]",5.53479875007223,0.0670203328493604,5.40287254103274,5.53556359996824,5.66787884053264,1,12386,1
"alpha[59]",4.3891846064129,0.0686628805623339,4.25714471453091,4.38842105918204,4.52507422370089,1,11313,1
